,Unnamed: 0,Function,File,Support,Execution time
0,0,Apriori,Datasets/mushroom/mushroom.dat,1.0,0.0843649
1,1,Apriori,Datasets/mushroom/mushroom.dat,0.95,0.1034541
2,2,Apriori,Datasets/mushroom/mushroom.dat,0.9,0.0843156999999998
3,3,Apriori,Datasets/mushroom/mushroom.dat,0.8,0.0944727
4,4,Apriori,Datasets/mushroom/mushroom.dat,0.85,0.0844649000000001
5,5,Apriori,Datasets/chess/chess.dat,1.0,0.0488684999999999
6,6,Apriori,Datasets/chess/chess.dat,0.95,0.0703591000000001
7,7,Apriori,Datasets/chess/chess.dat,0.9,0.8249841
8,8,Apriori,Datasets/chess/chess.dat,0.8,548.7923493999999
9,9,Apriori,Datasets/chess/chess.dat,0.85,22.4778834
10,10,Apriori,Datasets/accidents/accidents.dat,1.0,5.540064400000006
11,11,Apriori,Datasets/accidents/accidents.dat,0.95,5.729322700000012
12,12,Apriori,Datasets/accidents/accidents.dat,0.9,6.008889199999999
13,13,Apriori,Datasets/accidents/accidents.dat,0.8,22.381282299999956
14,14,Apriori,Datasets/accidents/accidents.dat,0.85,10.45516090000001
0,0,ECLAT,Datasets/mushroom/mushroom.dat,1.0,0.0825179000000844
1,1,ECLAT,Datasets/mushroom/mushroom.dat,0.95,0.083048500000018
2,2,ECLAT,Datasets/mushroom/mushroom.dat,0.9,0.086312399999997
3,3,ECLAT,Datasets/mushroom/mushroom.dat,0.8,0.0898316999999906
4,4,ECLAT,Datasets/mushroom/mushroom.dat,0.85,0.0869530999999597
5,5,ECLAT,Datasets/chess/chess.dat,1.0,0.050676400000043
6,6,ECLAT,Datasets/chess/chess.dat,0.95,0.0562340000000176
7,7,ECLAT,Datasets/chess/chess.dat,0.9,0.0822000000000571
8,8,ECLAT,Datasets/chess/chess.dat,0.8,0.3224140000000943
9,9,ECLAT,Datasets/chess/chess.dat,0.85,0.0591081999999687
10,10,ECLAT,Datasets/accidents/accidents.dat,1.0,5.437887499999988
11,11,ECLAT,Datasets/accidents/accidents.dat,0.95,5.5261039000000665
12,12,ECLAT,Datasets/accidents/accidents.dat,0.9,5.811190900000042
13,13,ECLAT,Datasets/accidents/accidents.dat,0.8,6.93844660000002
14,14,ECLAT,Datasets/accidents/accidents.dat,0.85,5.749013600000012
